country,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0405,,,,0.0293,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.266,0.271,0.27,0.305,0.227,0.293,0.312,0.39,0.398,,0.319
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.478,,,,0.311,0.243,0.274,0.238,0.213,0.215,0.224,0.275,0.248,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.194,0.348,,,,,,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.293,0.26,0.237,,0.188,0.212,0.194,0.187,0.183,0.194,0.188,,,0.226
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,0.32,0.363,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,0.125,0.114,0.138,0.183,0.168,0.152,0.15,0.149,0.134,0.112,0.13,0.175,0.193,0.185,0.169,0.152,0.157,0.159,0.145,0.131,0.121,0.135,0.128,0.12,0.114,0.106,0.1,0.0937,0.0882,0.115,0.116,0.114,0.117,0.122,0.133,0.131,0.126,0.126
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0496,0.0591,0.0685,0.0757,0.075,0.0593,0.063,0.0603,0.0716,0.0745,0.121,0.11,0.0979,0.0943,0.0851,0.107,0.0947,0.0894,0.094,0.0967,0.103,0.106,0.112,0.098
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.144,0.139,0.149,0.147,0.142,0.138,0.135,0.134,0.131,0.129
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.157,,,,,0.241,,0.202,,0.189,0.171,0.262,,0.275,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0503,,,,,,,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.022,,,0.0254,,,,,,,0.0702,,,,0.107,,,0.0663,,0.0927,0.076,,,,0.0636,,,0.0988,,,0.114,0.128
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.306,,,0.354,0.365,0.325,0.255,0.307,0.335,0.422,,,0.378,,0.3,,,,,,0.262,,,,,,0.244,0.261,,,0.296,0.338,0.324,0.296,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.107,0.0932
