country,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0249,,,,0.0169,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.131,0.137,0.141,0.135,0.134,0.159,0.175,0.171,0.152,0.138
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.206,0.244,0.262,0.277,0.318,,0.254,,,0.298,0.273,0.259,0.237,0.176,0.153,0.123,0.138,0.113,0.102,0.0996,0.0996,0.11,0.0982,0.102,0.112,0.102,0.136
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0943,0.168,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,0.048,0.06,0.066,0.056,0.034,0.023,0.045,0.028,0.028,0.02,0.023,0.045,0.0473,0.0417,0.0354,0.053,0.044,0.053,0.06,0.073,0.0706,0.0544,0.0636,0.101,0.118,0.188,0.171,0.148,0.127,0.141,0.15,0.173,0.196,0.154,0.135,0.115,0.101,0.0847,0.0784,0.0865,0.0771,0.0718,0.0722,0.071,0.0727,,,0.0835
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.175,0.183,0.176,0.178
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0626,0.0611,0.0578,0.0716,0.0996,0.0899,0.0826,0.0808,0.0811,0.0723,0.0617,0.0693,0.0958,0.107,0.109,0.0972,0.0847,0.0851,0.0836,0.0768,0.0687,0.0628,0.0674,0.0637,0.0593,0.0539,0.0503,0.0478,0.0438,0.0423,0.0556,0.0521,0.0508,0.0522,0.0566,0.0608,0.0606,0.0571,0.0559
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0354,0.0435,0.0528,0.0515,0.0552,0.047,0.0469,0.0401,0.0485,0.0478,0.0583,0.0563,0.0524,0.0486,0.0413,0.053,0.0482,0.0456,0.0487,0.0533,0.0562,0.0572,0.0601,0.055
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.118,0.109,0.1,0.0925,0.08,0.073,0.0662,0.0654,0.0605,0.0574,0.0563,0.0542,0.0519,0.0497,0.0491,0.0496,0.05,0.05
