country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.591,,,,0.386,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,0.672,0.684,0.703,0.697,0.708,0.721,0.718,0.722,0.577,0.581,0.585,0.585,0.58,0.366,0.446,0.44,0.421,0.454,0.46,0.44,0.427,0.413,,0.382
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.211,,0.211,0.207,,,,,,,0.108,,0.106,0.0878,0.0866,0.0834,0.102
Angola,,,,,,,,,,,,,,,,,,,,,,,0.0506,,,,,,,,,,,,0.362,,,,,,0.483,0.507,,,0.441,,,
Antigua and Barbuda,,,,0.113,0.114,0.119,0.114,,,,,,,,,,,,,,,,,,,,,,,,,,0.0281,0.0281,0.0281,0.0281,0.0281,0.028,0.028,,,,,,,,,
Argentina,,,,,,,,,,,,,0.0012,0.0027,0.0026,,,,,,0.0035,0.0034,0.004,0.0045,0.0045,0.0062,0.0076,0.0079,0.0076,0.0074,0.0067,0.0083,0.0098,0.0139,0.0149,0.0128,0.0105,,0.0119,0.0122,0.0336,0.0299,0.0304,0.0244,0.0204,,,0.0006
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.453,,,,,0.365,0.442,0.395,0.386,0.389,0.373,0.363,0.348,0.353,0.336,
Australia,0.0804,0.0748,0.0788,0.0737,0.0691,0.0681,0.0652,0.0668,0.0624,0.0656,0.0648,0.0648,0.0642,0.066,0.062,0.0614,0.061,0.0579,0.0585,0.0551,0.0556,0.0546,0.0528,0.0531,0.0508,0.0494,0.05,0.0509,0.0488,0.0492,0.0486,0.0475,0.0438,0.0391,0.0374,0.0358,0.0343,0.0335,0.0331,0.0323,0.0323,0.0282,0.028,0.0262,0.028,0.0264,0.0263,0.0259
Austria,,,,,,,,,,,,,,0.0992,0.094,0.0899,0.0861,0.0863,0.0814,0.0793,0.0785,0.0736,0.0705,0.0689,0.072,0.0734,0.0743,0.0689,0.0648,0.0623,0.0605,0.058,0.0576,0.055,0.0489,0.0527,0.0524,0.0553,0.0525,0.0532,0.0521,0.0494,0.0468,0.0458,0.0484,0.0453,0.0435,0.0393
Azerbaijan,,,,,,,,,,,,,,0.334,0.334,0.332,0.331,0.336,0.327,0.316,0.309,0.318,0.347,0.324,0.315,0.308,0.318,0.29,0.423,0.423,0.41,0.4,0.402,0.382,0.395,0.393,0.395,0.385,0.396,0.381,0.382,0.379,0.376,0.371,0.368,0.364,0.363,0.364
