country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.745,,,,0.386,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.371,0.487,0.439,0.436,0.432,0.502,0.451,0.42,0.398,,0.268
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0609,,0.0723,0.136,0.0731,,,0.0798,0.0532,0.0848,0.0218,,0.0294,0.0163,,,0.0241
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0736,,,,,,,0.421,,,0.0699,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,0.0085,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,,,,,,,,,,,0.0253,0.0189,0.021,0.0217,0.0264,0.0211,0.0284,0.0241,0.0219,0.0204,0.0185,0.0178,0.0157,0.0241,0.02,0.0167,0.0159,0.0144,0.0119,0.0116,0.0151,0.0117,0.0096,0.0104,0.0128,,,0.0097
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0853,,0.248,0.22,0.189,,0.185,0.0999,0.105,0.0869,
Australia,,,,,,,,,,,,,,,,,,,,,0.0121,0.0128,0.014,0.0145,0.0144,0.0134,0.0133,0.0131,0.0109,0.0121,0.0116,0.0071,0.0058,0.0055,0.0053,0.0045,0.0041,0.0035,0.0032,0.0031,0.0032,0.0028,0.0027,0.0025,0.0027,0.0027,0.0026,0.0023
Austria,,,,,,,,,,,,,,,,,,,,,,,,,0.0517,0.0532,0.0545,0.0488,0.0437,0.0432,0.0412,0.0389,0.0376,0.0317,0.0162,0.0187,0.0199,0.0284,0.0266,0.0257,0.0242,0.0218,0.0206,0.0197,0.0206,0.0173,0.0164,0.0167
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.226,0.186,0.168,,,,0.302,0.31,0.321,0.33,0.337,0.337,0.332,0.414,0.414
Bahamas,,,,,,,,,,,,,,,,,,,,,,0.0067,0.0057,0.0057,0.004,0.0097,0.0114,0.002,0.0041,0.0037,,0.0017,0.0068,0.0014,0.0048,,,,0.0027,0.0032,,0.0021,,,,,,
