country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.124,,,,0.166,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.102,0.0959,0.093,0.0876,0.0873,0.0665,0.0649,0.137,0.134,0.136,0.135,0.135,0.226,0.178,0.199,0.206,0.189,0.173,0.168,0.174,0.186,,0.194
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.243,,0.24,0.26,,,,,,,0.309,,0.296,0.304,0.298,0.303,0.309
Angola,,,,,,,,,,,,,,,,,,,,,,,0.206,,,,,,,,,,,,0.091,,,,,,0.0301,0.0278,,,0.0613,,,
Antigua and Barbuda,,,,0.194,0.212,0.211,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,0.156,0.156,0.156,0.156,0.156,0.156,0.156,,,,,,,,,
Argentina,,,,,,,,,,,,,0.293,0.292,0.309,,,,,,0.316,0.326,0.321,0.295,0.285,0.27,0.249,0.254,0.248,0.236,0.227,0.219,0.202,0.216,0.226,0.232,0.236,,0.239,0.231,0.239,0.249,0.239,0.241,0.246,,,0.224
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,,,0.19,0.168,0.171,0.174,0.167,0.177,0.17,0.167,0.159,0.158,
Australia,0.364,0.368,0.352,0.355,0.352,0.335,0.332,0.324,0.312,0.312,0.31,0.305,0.297,0.284,0.28,0.27,0.263,0.258,0.256,0.259,0.251,0.238,0.236,0.236,0.235,0.229,0.225,0.221,0.218,0.214,0.216,0.207,0.209,0.209,0.212,0.211,0.214,0.214,0.216,0.211,0.21,0.208,0.207,0.204,0.21,0.201,0.201,0.194
Austria,,,,,,,,,,,,,,0.388,0.381,0.381,0.378,0.377,0.373,0.37,0.368,0.369,0.355,0.351,0.325,0.321,0.303,0.296,0.296,0.298,0.3,0.294,0.289,0.289,0.267,0.276,0.282,0.273,0.262,0.25,0.249,0.26,0.261,0.259,0.258,0.258,0.256,0.249
Azerbaijan,,,,,,,,,,,,,,0.291,0.291,0.293,0.293,0.291,0.293,0.29,0.229,0.223,0.203,0.192,0.188,0.178,0.151,0.14,0.111,0.112,0.109,0.108,0.115,0.129,0.119,0.121,0.123,0.126,0.121,0.127,0.137,0.141,0.143,0.144,0.143,0.141,0.143,0.144
Bahamas,,,,0.165,,0.0921,,0.118,,0.16,,,,,,,0.153,,,0.142,,0.152,0.153,0.121,0.129,0.142,0.147,0.146,0.152,0.166,,0.17,0.166,0.158,0.161,0.178,0.184,0.179,0.162,0.16,,0.129,,,,,,
Bahrain,,,,,,,,,,0.392,,0.347,0.342,,,,,,,,,0.282,,,,,,,,,,0.28,,,,,,,,,0.353,,,,,0.347,,
Bangladesh,,,,,,,,,,,,,,,0.11,0.115,0.125,,,0.154,,0.13,,,,,0.0957,,,,0.103,,,0.137,,0.145,0.145,,,,0.176,,,0.208,,,0.205,0.204
Barbados,,,,,,,0.255,0.261,0.222,,,0.216,0.236,0.234,0.228,0.232,0.223,0.224,0.227,0.232,0.219,0.201,0.197,0.191,0.189,0.196,0.186,0.192,0.209,0.214,0.204,0.196,0.187,0.176,,,,,,,0.196,0.203,0.194,0.19,0.192,0.193,0.193,
Belarus,,,,,,,,,,,,,,,,,,0.369,0.377,0.385,0.385,0.373,0.369,0.362,0.349,,,,,,,,,,,,,,,,,,,,,0.311,0.315,0.308
Belgium,0.422,0.419,0.411,0.409,0.406,0.393,0.383,0.374,0.361,0.35,0.343,0.329,0.318,0.335,0.326,0.319,0.32,0.316,0.314,0.314,0.307,0.305,0.306,0.295,0.289,0.283,0.276,0.276,0.273,0.258,0.258,0.255,0.258,0.249,0.249,0.247,0.247,0.244,0.247,0.235,0.234,0.232,0.218,0.217,0.214,0.214,0.213,0.208
Belize,,,,,,,,,,,,,,,,,,,,,,,,0.202,0.193,0.178,0.17,0.182,0.18,0.17,,,,,,0.179,,,,,,,0.14,0.136,0.0839,0.159,0.15,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.104,0.186,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.172,0.0758,,,0.0643,0.0663,0.0921,0.0865,0.11,0.108,0.0966,,
Bolivia,,,,,,,0.202,0.203,0.206,0.207,0.206,0.197,0.173,0.174,0.168,0.16,0.127,0.128,0.128,0.128,0.128,0.294,0.314,0.282,0.296,0.288,0.283,0.297,,0.189,0.186,0.157,0.178,0.205,0.205,0.194,0.175,0.197,0.201,0.207,,0.209,0.206,0.198,0.206,0.225,0.21,0.216
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.308,0.326,0.325,0.315,0.309,0.289,0.304,,0.3,0.0745,,0.238
Botswana,,,,,,,,,,,,,,,,0.106,,,,,,,,,,,0.256,,0.219,,0.209,0.255,,0.226,,,0.152,,,0.181,0.175,,,,,,,
Brazil,,,,,,,,,,,,0.247,0.234,0.254,0.218,0.221,0.242,0.238,0.233,0.237,0.227,,0.204,0.207,,0.221,0.222,0.222,0.221,0.214,,0.209,0.214,0.209,0.21,0.214,0.213,0.219,0.227,0.221,,0.218,0.23,0.229,0.229,0.222,0.209,0.204
Brunei,,,,,,,,,,,,,,,,,,,,,,0.241,,,,,,,,,,0.214,,,,,,,,,,,,,0.179,,,0.161
Bulgaria,,,,,,,,,,0.425,0.427,0.432,0.438,0.444,0.448,0.45,0.454,0.458,0.457,0.453,0.442,0.411,0.385,0.366,0.348,0.335,0.326,0.32,0.306,0.289,0.327,0.327,0.326,0.321,0.329,0.342,0.345,0.355,0.364,0.352,0.33,0.314,0.313,0.302,0.301,0.299,0.298,0.299
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,0.0332,,,,,,,,,,,,0.0534,,,,,,,,0.314,,,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.022,,,,,,,,,,,,,,,,,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0462,0.0423,,0.0842,0.105,,,0.0353,,,,0.0858,,0.162,,0.252,,,,,
Cameroon,,,,,,,,,,,,,,,,,0.0683,,,,,,,,,,,,,,,0.0912,,,,,,0.11,,,,,,,0.141,,,
Canada,0.315,0.31,0.309,0.312,0.311,0.293,,,,,,,,,,,,0.257,0.259,0.26,0.253,0.239,0.232,0.225,0.227,0.229,0.228,0.231,0.231,0.231,0.233,0.231,0.232,0.23,0.231,0.227,0.221,0.217,0.215,0.203,0.201,0.203,0.205,0.203,0.202,0.199,0.195,0.195
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,0.219
Chad,,,,,,,,,,,,,,,,,,,,,,,,0.0205,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,0.251,0.242,0.241,0.236,0.241,0.237,0.237,0.182,0.181,0.202,0.202,0.212,0.23,0.249,0.265,0.253,0.263,0.265,0.272,0.261,0.261,0.266,0.273,0.255,0.234,0.234,0.239,0.239,0.234,0.236,0.229,0.233,0.234,0.235,0.542,0.23,0.234,0.238,0.239,0.235,0.233,0.23,0.227
China,0.102,,,,,0.135,,,0.173,0.176,0.182,0.183,0.184,0.187,0.199,0.208,0.219,0.222,0.224,0.216,0.214,0.214,0.217,0.224,0.227,0.23,0.235,0.237,0.235,0.23,0.225,0.223,0.214,0.216,0.225,0.238,0.252,0.268,0.272,0.278,0.287,0.295,0.303,0.301,0.299,0.293,0.288,0.281
Colombia,,,,,,0.316,0.329,0.325,0.336,0.329,0.34,,,,,0.293,0.29,0.3,0.3,0.299,0.309,0.306,0.309,0.165,0.314,0.315,0.298,0.276,0.265,0.241,0.255,0.184,,,,,,,,0.198,0.2,0.207,0.207,0.196,0.198,0.198,0.194,0.194
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.129,,,,,,,,,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0817,,,,,,,,,,,,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.206,,,,,,,,,,,,
Costa Rica,,,,,,,,,,,0.24,0.221,0.209,0.217,0.207,0.21,0.229,0.247,0.24,0.262,0.259,0.263,0.262,0.257,0.261,0.241,0.233,0.236,0.23,0.232,0.223,0.233,0.225,0.222,0.22,0.216,0.217,0.222,0.216,,0.194,0.191,0.181,0.164,0.176,0.191,0.186,0.183
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0751,0.118,,,0.0621,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,0.291,0.295,,,,0.264,0.298,0.302,0.296,0.286,0.293,0.306,0.308,0.29,0.274,0.279,0.279,0.276,0.269,0.267,0.269,0.264
Cuba,,,,,,,,,,,,,,,,,,,,,,0.293,0.289,0.275,0.256,0.229,0.229,0.229,0.213,0.191,0.191,0.202,0.202,0.202,0.194,0.191,0.181,0.18,0.181,0.175,0.17,0.171,0.192,0.172,0.169,,,
Cyprus,,,,,,,0.281,0.311,0.328,0.335,0.338,0.331,0.325,0.318,0.316,0.31,0.303,0.298,0.296,0.29,0.286,0.289,0.281,0.268,0.259,0.253,,,,,0.238,0.237,0.232,0.229,0.234,0.241,0.226,0.225,0.231,0.218,0.204,0.209,0.202,0.176,0.165,0.162,0.171,0.171
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,0.435,0.427,0.422,0.42,0.415,0.415,0.405,0.399,0.405,0.401,0.399,0.393,0.395,0.4,0.402,0.405,0.386,0.38,0.385,0.381,0.375,0.38,0.38,0.381,0.38
