country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.281,,,,0.436,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,0.218,0.214,0.202,0.211,0.205,0.191,0.215,0.214,0.284,0.285,0.276,0.278,0.284,0.408,0.376,0.36,0.373,0.358,0.366,0.388,0.394,0.399,,0.424
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.517,,0.521,0.504,,,,,,,0.584,,0.445,0.255,0.616,0.614,0.588
Angola,,,,,,,,,,,,,,,,,,,,,,,0.666,,,,,,,,,,,,0.547,,,,,,0.4,0.389,,,0.262,,,
Antigua and Barbuda,,,,0.693,0.674,0.67,0.695,,,,,,,,,,,,,,,,,,,,,,,,,,0.815,0.816,0.816,0.816,0.815,0.816,0.815,,,,,,,,,
Argentina,,,,,,,,,,,,,0.595,0.585,0.566,,,,,,0.676,0.662,0.668,0.694,0.706,0.72,0.739,0.732,0.741,0.753,0.762,0.769,0.786,0.763,0.756,0.753,0.751,,0.744,0.752,0.723,0.709,0.726,0.727,0.728,,,0.773
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.378,,,,,0.445,0.39,0.435,0.44,0.444,0.45,0.467,0.485,0.488,0.506,
Australia,0.558,0.558,0.569,0.571,0.579,0.597,0.603,0.609,0.625,0.622,0.624,0.627,0.637,0.648,0.655,0.669,0.677,0.684,0.685,0.686,0.694,0.707,0.712,0.711,0.715,0.722,0.725,0.728,0.733,0.737,0.735,0.745,0.747,0.752,0.75,0.753,0.751,0.753,0.751,0.756,0.758,0.763,0.765,0.769,0.762,0.772,0.773,0.78
Austria,,,,,,,,,,,,,,0.512,0.522,0.526,0.532,0.534,0.54,0.546,0.549,0.552,0.568,0.575,0.603,0.606,0.623,0.635,0.64,0.64,0.639,0.648,0.654,0.656,0.683,0.672,0.666,0.672,0.685,0.697,0.699,0.69,0.692,0.695,0.694,0.697,0.701,0.712
Azerbaijan,,,,,,,,,,,,,,0.335,0.335,0.336,0.337,0.332,0.34,0.355,0.311,0.322,0.311,0.34,0.354,0.358,0.377,0.423,0.466,0.465,0.481,0.492,0.483,0.489,0.486,0.486,0.481,0.488,0.483,0.492,0.48,0.48,0.481,0.485,0.489,0.496,0.493,0.493
Bahamas,,,,0.743,,0.822,,0.786,,0.811,,,,,,,0.794,,,0.796,,0.786,0.793,0.815,0.813,0.812,0.798,0.813,0.808,0.789,,0.784,0.792,0.809,0.794,0.784,0.794,0.796,0.805,0.808,,0.83,,,,,,
Bahrain,,,,,,,,,,0.559,,0.611,0.615,,,,,,,,,0.683,,,,,,,,,,0.686,,,,,,,,,0.624,,,,,0.629,,
Bangladesh,,,,,,,,,,,,,,,0.242,0.26,0.264,,,0.148,,0.161,,,,,0.25,,,,0.235,,,0.346,,0.374,0.374,,,,0.351,,,0.341,,,0.369,0.39
Barbados,,,,,,,0.681,0.673,0.726,,,0.691,0.677,0.685,0.681,0.683,0.695,0.697,0.695,0.609,0.62,0.656,0.641,0.656,0.652,0.651,0.627,0.643,0.628,0.64,0.644,0.655,0.659,0.668,,,,,,,0.775,0.763,0.779,0.783,0.781,0.777,0.779,
Belarus,,,,,,,,,,,,,,,,,,0.359,0.358,0.356,0.361,0.366,0.366,0.382,0.4,,,,,,,,,,,,,,,,,,,,,0.592,0.587,0.585
Belgium,0.53,0.536,0.547,0.551,0.556,0.569,0.581,0.592,0.606,0.617,0.626,0.64,0.651,0.632,0.639,0.645,0.648,0.652,0.655,0.652,0.66,0.668,0.665,0.679,0.682,0.691,0.696,0.698,0.705,0.718,0.723,0.731,0.724,0.734,0.728,0.733,0.733,0.737,0.738,0.75,0.753,0.755,0.771,0.769,0.774,0.774,0.775,0.781
Belize,,,,,,,,,,,,,,,,,,,,,,,,0.566,0.568,0.55,0.544,0.519,0.57,0.555,,,,,,0.625,,,,,,,0.667,0.678,0.331,0.666,0.693,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44,0.378,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.392,0.298,,,0.282,0.338,0.306,0.291,0.327,0.325,0.324,,
Bolivia,,,,,,,0.317,0.32,0.32,0.324,0.329,0.339,0.363,0.352,0.36,0.365,0.399,0.398,0.398,0.398,0.398,0.688,0.664,0.699,0.688,0.69,0.664,0.646,,0.411,0.424,0.401,0.399,0.444,0.444,0.42,0.43,0.442,0.487,0.492,,0.493,0.516,0.509,0.485,0.496,0.497,0.502
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.487,0.476,0.47,0.473,0.494,0.515,0.491,,0.529,0.446,,0.432
Botswana,,,,,,,,,,,,,,,,0.314,,,,,,,,,,,0.587,,0.56,,0.582,0.614,,0.561,,,0.549,,,0.566,0.56,,,,,,,
Brazil,,,,,,,,,,,,0.461,0.471,0.476,0.484,0.493,0.5,0.516,0.524,0.532,0.545,,0.514,0.519,,0.559,0.569,0.571,0.577,0.58,,0.588,0.584,0.588,0.582,0.584,0.594,0.598,0.599,0.608,,0.627,0.655,0.659,0.667,0.676,0.689,0.7
Brunei,,,,,,,,,,,,,,,,,,,,,,0.738,,,,,,,,,,0.772,,,,,,,,,,,,,0.777,,,0.825
